# T P(MeV/fm^3) epsilon  s(fm^-3) c_s^2
  1.0   0.0000   0.0000   0.0000 0.2222
  2.0   0.0000   0.0000   0.0000 0.1818
  3.0   0.0000   0.0000   0.0000 0.1538
  4.0   0.0000   0.0000   0.0000 0.1333
  5.0   0.0000   0.0000   0.0000 0.1176
  6.0   0.0000   0.0000   0.0000 0.1053
  7.0   0.0000   0.0000   0.0000 0.0953
  8.0   0.0000   0.0000   0.0000 0.0875
  9.0   0.0000   0.0000   0.0000 0.0822
 10.0   0.0000   0.0000   0.0000 0.0796
 11.0   0.0000   0.0000   0.0000 0.0793
 12.0   0.0000   0.0000   0.0000 0.0806
 13.0   0.0000   0.0000   0.0000 0.0833
 14.0   0.0000   0.0000   0.0000 0.0870
 15.0   0.0000   0.0000   0.0000 0.0915
 16.0   0.0000   0.0000   0.0000 0.0967
 17.0   0.0000   0.0001   0.0000 0.1022
 18.0   0.0000   0.0002   0.0000 0.1081
 19.0   0.0000   0.0004   0.0000 0.1141
 20.0   0.0001   0.0007   0.0000 0.1202
 21.0   0.0001   0.0011   0.0001 0.1263
 22.0   0.0002   0.0017   0.0001 0.1323
 23.0   0.0003   0.0025   0.0001 0.1382
 24.0   0.0005   0.0036   0.0002 0.1440
 25.0   0.0007   0.0050   0.0002 0.1496
 26.0   0.0009   0.0068   0.0003 0.1550
 27.0   0.0013   0.0090   0.0004 0.1602
 28.0   0.0017   0.0117   0.0005 0.1652
 29.0   0.0023   0.0150   0.0006 0.1700
 30.0   0.0030   0.0189   0.0007 0.1745
 31.0   0.0038   0.0235   0.0009 0.1789
 32.0   0.0047   0.0290   0.0011 0.1830
 33.0   0.0059   0.0352   0.0012 0.1870
 34.0   0.0073   0.0425   0.0015 0.1907
 35.0   0.0089   0.0507   0.0017 0.1943
 36.0   0.0107   0.0602   0.0020 0.1976
 37.0   0.0128   0.0709   0.0023 0.2008
 38.0   0.0153   0.0829   0.0026 0.2039
 39.0   0.0180   0.0964   0.0029 0.2068
 40.0   0.0212   0.1115   0.0033 0.2095
 41.0   0.0247   0.1282   0.0037 0.2121
 42.0   0.0287   0.1468   0.0042 0.2145
 43.0   0.0331   0.1674   0.0047 0.2169
 44.0   0.0380   0.1900   0.0052 0.2191
 45.0   0.0435   0.2149   0.0057 0.2212
 46.0   0.0496   0.2421   0.0063 0.2232
 47.0   0.0562   0.2719   0.0070 0.2250
 48.0   0.0636   0.3043   0.0077 0.2268
 49.0   0.0716   0.3397   0.0084 0.2285
 50.0   0.0804   0.3780   0.0092 0.2301
 51.0   0.0900   0.4195   0.0100 0.2316
 52.0   0.1004   0.4645   0.0109 0.2330
 53.0   0.1118   0.5130   0.0118 0.2344
 54.0   0.1241   0.5653   0.0128 0.2356
 55.0   0.1373   0.6215   0.0138 0.2368
 56.0   0.1517   0.6820   0.0149 0.2379
 57.0   0.1672   0.7469   0.0160 0.2389
 58.0   0.1838   0.8165   0.0172 0.2399
 59.0   0.2017   0.8909   0.0185 0.2408
 60.0   0.2209   0.9705   0.0199 0.2416
 61.0   0.2415   1.0556   0.0213 0.2423
 62.0   0.2635   1.1463   0.0227 0.2430
 63.0   0.2870   1.2429   0.0243 0.2436
 64.0   0.3121   1.3459   0.0259 0.2442
 65.0   0.3389   1.4554   0.0276 0.2447
 66.0   0.3674   1.5718   0.0294 0.2451
 67.0   0.3978   1.6955   0.0312 0.2454
 68.0   0.4300   1.8268   0.0332 0.2457
 69.0   0.4642   1.9660   0.0352 0.2459
 70.0   0.5005   2.1136   0.0373 0.2461
 71.0   0.5390   2.2699   0.0396 0.2461
 72.0   0.5798   2.4355   0.0419 0.2462
 73.0   0.6229   2.6107   0.0443 0.2461
 74.0   0.6685   2.7960   0.0468 0.2459
 75.0   0.7167   2.9919   0.0494 0.2457
 76.0   0.7675   3.1990   0.0522 0.2455
 77.0   0.8212   3.4178   0.0551 0.2451
 78.0   0.8778   3.6489   0.0580 0.2447
 79.0   0.9374   3.8930   0.0611 0.2441
 80.0   1.0003   4.1507   0.0644 0.2436
 81.0   1.0664   4.4226   0.0678 0.2429
 82.0   1.1361   4.7096   0.0713 0.2421
 83.0   1.2093   5.0125   0.0750 0.2413
 84.0   1.2863   5.3321   0.0788 0.2404
 85.0   1.3672   5.6694   0.0828 0.2394
 86.0   1.4522   6.0252   0.0869 0.2383
 87.0   1.5414   6.4007   0.0913 0.2371
 88.0   1.6352   6.7969   0.0958 0.2359
 89.0   1.7335   7.2150   0.1005 0.2345
 90.0   1.8367   7.6563   0.1055 0.2331
 91.0   1.9450   8.1222   0.1106 0.2316
 92.0   2.0586   8.6141   0.1160 0.2300
 93.0   2.1777   9.1336   0.1216 0.2284
 94.0   2.3025   9.6823   0.1275 0.2266
 95.0   2.4334  10.2622   0.1336 0.2248
 96.0   2.5706  10.8751   0.1401 0.2229
 97.0   2.7144  11.5231   0.1468 0.2209
 98.0   2.8652  12.2085   0.1538 0.2189
 99.0   3.0232  12.9336   0.1612 0.2167
100.0   3.1887  13.7012   0.1689 0.2146
101.0   3.3623  14.5140   0.1770 0.2123
102.0   3.5441  15.3749   0.1855 0.2100
103.0   3.7348  16.2874   0.1944 0.2077
104.0   3.9346  17.2548   0.2037 0.2053
105.0   4.1441  18.2809   0.2136 0.2029
106.0   4.3637  19.3698   0.2239 0.2005
107.0   4.5941  20.5257   0.2348 0.1980
108.0   4.8357  21.7535   0.2462 0.1955
109.0   5.0891  23.0580   0.2582 0.1929
110.0   5.3549  24.4448   0.2709 0.1904
111.0   5.6339  25.9194   0.2843 0.1879
112.0   5.9268  27.4883   0.2983 0.1854
113.0   6.2342  29.1579   0.3132 0.1829
114.0   6.5571  30.9355   0.3289 0.1804
115.0   6.8963  32.8286   0.3454 0.1779
116.0   7.2526  34.8453   0.3629 0.1754
117.0   7.6271  36.9943   0.3814 0.1730
118.0   8.0207  39.2849   0.4009 0.1707
119.0   8.4347  41.7269   0.4215 0.1683
120.0   8.8701  44.3306   0.4433 0.1661
121.0   9.3282  47.1074   0.4664 0.1638
122.0   9.8103  50.0687   0.4908 0.1617
123.0  10.3177  53.2271   0.5166 0.1596
124.0  10.8520  56.5957   0.5439 0.1576
125.0  11.4147  60.1883   0.5728 0.1556
126.0  12.0075  64.0193   0.6034 0.1538
127.0  12.6320  68.1040   0.6357 0.1520
128.0  13.2902  72.4582   0.6699 0.1503
129.0  13.9839  77.0984   0.7061 0.1487
130.0  14.7152  82.0419   0.7443 0.1472
131.0  15.4863  87.3065   0.7847 0.1457
132.0  16.2993  92.9106   0.8273 0.1444
133.0  17.1566  98.8731   0.8724 0.1432
134.0  18.0607 105.2134   0.9200 0.1420
135.0  19.0141 111.9513   0.9701 0.1410
136.0  20.0196 119.1071   1.0230 0.1401
137.0  21.0798 126.7009   1.0787 0.1392
138.0  22.1978 134.7534   1.1373 0.1385
139.0  23.3764 143.2851   1.1990 0.1379
140.0  24.6189 152.3163   1.2638 0.1373
141.0  25.9283 161.8673   1.3319 0.1369
142.0  27.3080 171.9579   1.4033 0.1366
143.0  28.7613 182.6075   1.4781 0.1364
144.0  30.2918 193.8347   1.5564 0.1363
145.0  31.9029 205.6575   1.6383 0.1363
146.0  33.5983 218.0929   1.7239 0.1364
147.0  35.3817 231.1570   1.8132 0.1366
148.0  37.2566 244.8645   1.9062 0.1370
149.0  39.2270 259.2290   2.0031 0.1374
150.0  41.2966 274.2626   2.1037 0.1380
151.0  43.4691 289.9760   2.2082 0.1386
152.0  45.7485 306.3785   2.3166 0.1394
153.0  48.1385 323.4776   2.4289 0.1402
154.0  50.6430 341.2793   2.5450 0.1412
155.0  53.2657 359.7881   2.6649 0.1423
156.0  56.0104 379.0068   2.7886 0.1434
157.0  58.8809 398.9368   2.9160 0.1447
158.0  61.8807 419.5778   3.0472 0.1460
159.0  65.0136 440.9284   3.1820 0.1475
160.0  68.2831 462.9858   3.3204 0.1490
161.0  71.6926 485.7462   3.4624 0.1506
162.0  75.2457 509.2046   3.6077 0.1523
163.0  78.9456 533.3552   3.7564 0.1541
164.0  82.7956 558.1915   3.9085 0.1560
165.0  86.7990 583.7066   4.0637 0.1579
166.0  90.9588 609.8930   4.2220 0.1599
167.0  95.2780 636.7432   4.3834 0.1619
168.0  99.7596 664.2493   4.5477 0.1640
169.0 104.4065 692.4038   4.7149 0.1661
170.0 109.2214 721.1992   4.8848 0.1683
171.0 114.2071 750.6284   5.0575 0.1705
172.0 119.3662 780.6848   5.2329 0.1728
173.0 124.7013 811.3621   5.4108 0.1751
174.0 130.2149 842.6549   5.5912 0.1774
175.0 135.9095 874.5583   5.7741 0.1797
176.0 141.7875 907.0682   5.9594 0.1820
177.0 147.8513 940.1813   6.1471 0.1843
178.0 154.1031 973.8952   6.3371 0.1866
179.0 160.5454 1008.2080   6.5293 0.1889
180.0 167.1803 1043.1190   6.7239 0.1912
181.0 174.0102 1078.6281   6.9207 0.1935
182.0 181.0371 1114.7362   7.1196 0.1957
183.0 188.2634 1151.4448   7.3208 0.1980
184.0 195.6912 1188.7564   7.5242 0.2002
185.0 203.3228 1226.6739   7.7297 0.2024
186.0 211.1602 1265.2012   7.9374 0.2045
187.0 219.2058 1304.3428   8.1473 0.2066
188.0 227.4616 1344.1037   8.3594 0.2087
189.0 235.9298 1384.4897   8.5736 0.2107
190.0 244.6128 1425.5069   8.7901 0.2127
191.0 253.5127 1467.1621   9.0088 0.2146
192.0 262.6316 1509.4625   9.2297 0.2165
193.0 271.9720 1552.4157   9.4528 0.2184
194.0 281.5360 1596.0296   9.6782 0.2202
195.0 291.3259 1640.3126   9.9058 0.2220
196.0 301.3441 1685.2734  10.1358 0.2237
197.0 311.5928 1730.9209  10.3681 0.2254
198.0 322.0744 1777.2642  10.6027 0.2270
199.0 332.7913 1824.3128  10.8397 0.2286
200.0 343.7459 1872.0762  11.0791 0.2301
201.0 354.9406 1920.5642  11.3209 0.2316
202.0 366.3779 1969.7867  11.5652 0.2331
203.0 378.0601 2019.7538  11.8119 0.2345
204.0 389.9899 2070.4755  12.0611 0.2359
205.0 402.1697 2121.9622  12.3128 0.2372
206.0 414.6021 2174.2240  12.5671 0.2385
207.0 427.2897 2227.2715  12.8240 0.2398
208.0 440.2350 2281.1150  13.0834 0.2410
209.0 453.4407 2335.7649  13.3455 0.2422
210.0 466.9094 2391.2319  13.6102 0.2434
211.0 480.6438 2447.5263  13.8776 0.2445
212.0 494.6466 2504.6589  14.1477 0.2456
213.0 508.9205 2562.6400  14.4205 0.2467
214.0 523.4683 2621.4803  14.6960 0.2478
215.0 538.2927 2681.1903  14.9743 0.2488
216.0 553.3965 2741.7807  15.2555 0.2498
217.0 568.7826 2803.2619  15.5394 0.2507
218.0 584.4537 2865.6446  15.8261 0.2517
219.0 600.4127 2928.9392  16.1158 0.2526
220.0 616.6626 2993.1564  16.4083 0.2535
221.0 633.2061 3058.3067  16.7037 0.2544
222.0 650.0463 3124.4005  17.0020 0.2552
223.0 667.1861 3191.4485  17.3033 0.2560
224.0 684.6283 3259.4611  17.6075 0.2569
225.0 702.3761 3328.4488  17.9148 0.2577
226.0 720.4324 3398.4221  18.2250 0.2584
227.0 738.8003 3469.3916  18.5383 0.2592
228.0 757.4828 3541.3676  18.8546 0.2599
229.0 776.4829 3614.3608  19.1740 0.2607
230.0 795.8037 3688.3814  19.4965 0.2614
231.0 815.4484 3763.4401  19.8220 0.2621
232.0 835.4200 3839.5472  20.1507 0.2628
233.0 855.7217 3916.7132  20.4826 0.2634
234.0 876.3566 3994.9487  20.8175 0.2641
235.0 897.3280 4074.2640  21.1557 0.2647
236.0 918.6389 4154.6696  21.4971 0.2654
237.0 940.2926 4236.1761  21.8416 0.2660
238.0 962.2924 4318.7938  22.1894 0.2666
239.0 984.6414 4402.5334  22.5405 0.2672
240.0 1007.3430 4487.4052  22.8948 0.2678
241.0 1030.4003 4573.4198  23.2524 0.2684
242.0 1053.8168 4660.5877  23.6132 0.2689
243.0 1077.5956 4748.9195  23.9774 0.2695
244.0 1101.7401 4838.4257  24.3449 0.2700
245.0 1126.2537 4929.1168  24.7158 0.2706
246.0 1151.1396 5021.0034  25.0900 0.2711
247.0 1176.4014 5114.0962  25.4676 0.2716
248.0 1202.0423 5208.4057  25.8486 0.2721
249.0 1228.0657 5303.9426  26.2330 0.2726
250.0 1254.4752 5400.7175  26.6208 0.2731
251.0 1281.2740 5498.7411  27.0120 0.2736
252.0 1308.4656 5598.0241  27.4067 0.2741
253.0 1336.0536 5698.5772  27.8049 0.2746
254.0 1364.0413 5800.4112  28.2065 0.2751
255.0 1392.4324 5903.5369  28.6116 0.2755
256.0 1421.2302 6007.9650  29.0203 0.2760
257.0 1450.4383 6113.7063  29.4325 0.2764
258.0 1480.0602 6220.7718  29.8482 0.2769
259.0 1510.0995 6329.1723  30.2675 0.2773
260.0 1540.5598 6438.9187  30.6903 0.2778
261.0 1571.4446 6550.0219  31.1167 0.2782
262.0 1602.7575 6662.4930  31.5468 0.2786
263.0 1634.5021 6776.3429  31.9804 0.2790
264.0 1666.6821 6891.5827  32.4177 0.2794
265.0 1699.3011 7008.2234  32.8586 0.2799
266.0 1732.3628 7126.2761  33.3032 0.2803
267.0 1765.8707 7245.7520  33.7514 0.2807
268.0 1799.8286 7366.6622  34.2033 0.2810
269.0 1834.2402 7489.0180  34.6590 0.2814
270.0 1869.1092 7612.8305  35.1183 0.2818
271.0 1904.4393 7738.1111  35.5814 0.2822
